,,,Kanji List — JLPT N2,,
,,,Provided by Rirekisho Builder,,
,,,,,• 欧州 → おうしゅう →
,,,,,Europe
43,担,タン,"かつ.ぐ,にな.う","bear, carry,",• 担当 → たんとう → being
,,,,"raise,",in charge (of an area of
,,,,shouldering,responsibility); being
,,,,,responsible (for a work
,,,,,"role, etc.)"
,,,,,• 担ぐ → かつぐ → to
,,,,,shoulder; to carry on
,,,,,one's shoulder
,,,,,• 担う → になう → to carry
,,,,,on one's shoulder; to
,,,,,shoulder; to bear
,,,,,• 担保 → たんぽ →
,,,,,security; guarantee;
,,,,,collateral; mortgage
44,準,ジュン,"じゅん.じる,じゅん.","conform,",• 準 → じゅん → semi-;
,,,"ずる, なぞら.える,","correspond to,",quasi-; associate
,,,"のり,ひと.しい,","imitate,",• 準備 → じゅんび →
,,,,proportionate,preparation;
,,,,"to, semi-",arrangements; getting
,,,,,ready; provision; setup;
,,,,,reserving
,,,,,• 準決勝 → じゅんけっしょ
,,,,,う → semifinal
,,,,,• 準じる → じゅんじる →
,,,,,"to follow (a rule,"
,,,,,"precedent, etc.); to"
,,,,,"conform to (the law,"
,,,,,"standards, etc.); to be"
,,,,,based on; to apply
,,,,,correspondingly
45,賞,ショウ,ほ.める,"praise, prize,",• 賞 → しょう → prize;
,,,,reward,award
,,,,,• 褒める → ほめる → to
,,,,,praise; to commend; to
,,,,,compliment; to speak
,,,,,well of; to speak highly of
,,,,,• 賞金 → しょうきん →
,,,,,prize money; monetary
,,,,,award; reward
,,,,,• 賞品 → しょうひん →
,,,,,prize; trophy
#,Kanji,Onyomi,Kunyomi,Meanings,Vocab
46,辺,ヘン,"-べ, あた.り,ほと.り","border,",• 辺 → へん → area;
,,,,"boundary,",vicinity; region
,,,,"environs,",• 辺 → ほとり → side (esp.
,,,,vicinity,of a waterbody); edge;
,,,,,bank; shore
,,,,,• 辺 → へ → surrounding
,,,,,area; vicinity
,,,,,• 辺り → わたり →
,,,,,neighbourhood; vicinity;
,,,,,nearby
47,造,ゾウ,"-づく.り,つく.り,つ","create, make,",• 作る → つくる → to
,,,く.る,"physique,",make; to produce; to
,,,,structure,manufacture; to build; to
,,,,,construct
,,,,,• 造花 → ぞうか →
,,,,,artificial flower; imitation
,,,,,flower
,,,,,• 造園 → ぞうえん →
,,,,,landscape gardening;
,,,,,landscape architecture
,,,,,• 造船 → ぞうせん →
,,,,,shipbuilding
48,被,ヒ,"おお.う, かぶ.せる,",be exposed,• 被 → ひ → indicates
,,,"かぶ.る, こうむ.る","(film), brood",being the subject or
,,,,"over, cover,","receiver of an action,"
,,,,"incur, put on,","decision, etc.; -ee (e.g."
,,,,"receiving,","employee, examinee,"
,,,,"shelter, veil,",trustee)
,,,,wear,• 覆う → おおう → to
,,,,,cover; to hide; to conceal;
,,,,,to wrap; to disguise
,,,,,• 被害 → ひがい →
,,,,,(suffering) damage;
,,,,,injury; harm
,,,,,• 着せる → きせる → to
,,,,,put clothes on (someone);
,,,,,to dress; to clothe
49,技,ギ,わざ,"ability, art,",• 技 → わざ → technique;
,,,,"arts, craft, feat,",art; skill; move
,,,,"performance,",• 技術 → ぎじゅつ →
,,,,"skill, vocation",technology; engineering
,,,,,• 技師 → ぎし → engineer;
,,,,,technician
,,,,,• 技能 → ぎのう →
,,,,,technical skill; ability;
,,,,,capacity
#,Kanji,Onyomi,Kunyomi,Meanings,Vocab
50,低,テイ,"ひく.い,ひく.まる,","humble, lower,","• 低 → てい → low (level,"
,,,ひく.める,short,"value, price, etc.)"
,,,,,• 低い → ひくい → low
,,,,,"(rank, degree, value,"
,,,,,"content, quality, etc.)"
,,,,,• 低下 → ていか → fall;
,,,,,decline; lowering;
,,,,,deterioration;
,,,,,degradation
,,,,,• 低気圧 → ていきあつ →
,,,,,low (atmospheric)
,,,,,pressure; low-pressure
,,,,,system; depression;
,,,,,cyclone
51,復,フク,また,"restore,",• 又 → また → again; once
,,,,"resume, return",more; once again;
,,,,"to, revert",another time; some other
,,,,,time
,,,,,• 帰る → かえる → to
,,,,,return; to come home; to
,,,,,go home; to go back
,,,,,• 復習 → ふくしゅう →
,,,,,review (of learned
,,,,,material); revision
,,,,,• 復活 → ふっかつ →
,,,,,"revival (of an old system,"
,,,,,"custom, fashion, etc.);"
,,,,,restoration; return;
,,,,,comeback
52,移,イ,"うつ.す, うつ.る","catch (cold,",• 移民 → いみん →
,,,,"fire), change,",immigration; emigration
,,,,"drift, move,",• 移る → うつる → to
,,,,"pass into, shift",move (house); to transfer
,,,,,(department)
,,,,,• 移動 → いどう →
,,,,,movement; transfer;
,,,,,migration; removal; travel
,,,,,• 移す → うつす → to
,,,,,transfer (to a different
,,,,,"place, group, etc.); to"
,,,,,change; to swap; to
,,,,,substitute
53,個,"カ, コ",,counter for,• 個 → こ → counter for
,,,,"articles,",(small) things or pieces
,,,,individual,• 箇 → か → counter used
,,,,,with Sino-Japanese
,,,,,words
,,,,,• 箇 → つ → general-
,,,,,purpose counter
,,,,,• 個人 → こじん →
,,,,,individual; private person;
,,,,,personal; private
#,Kanji,Onyomi,Kunyomi,Meanings,Vocab
54,門,モン,"かど,と",counter for,• 戸 → と → door (esp.
,,,,"cannons, gate",Japanese-style)
,,,,,• 門 → もん → gate
,,,,,• 門前 → もんぜん →
,,,,,before the gate; in front of
,,,,,the gate
,,,,,• 門番 → もんばん →
,,,,,gatekeeper; door guard;
,,,,,doorman; concierge;
,,,,,janitor
55,課,カ,,"chapter,",• 課 → か → lesson
,,,,counter for,• 課長 → かちょう →
,,,,chapters (of a,section manager; section
,,,,"book),",chief
,,,,"department,",• 科目 → かもく → (school)
,,,,"division,",subject; curriculum;
,,,,"lesson, section",course
,,,,,• 課税 → かぜい →
,,,,,taxation
56,脳,"ドウ,ノウ",のうずる,"brain, memory",• 脳 → のう → brain
,,,,,• 脳 → なずき → brain;
,,,,,skull; head
,,,,,• 脳波 → のうは → brain
,,,,,waves
,,,,,• 脳死 → のうし → brain
,,,,,death
57,極,"キョク,ゴク","-ぎ.め, き.まる, き.","10**48,",• 極 → きょく → pole
,,,"める, きわ.まり, き","conclusion,",• 極 → ごく → quite; very
,,,"わ.まる, きわ.み, き","electric poles,",• 果たて → はたて → end;
,,,わ.める,"end, extremely,",limit; extremity
,,,,"highest rank,",• 決める → きめる → to
,,,,"highly, most,",decide; to choose; to
,,,,"poles,",determine; to make up
,,,,"settlement,",one's mind; to resolve; to
,,,,very,set one's heart on; to
,,,,,settle; to arrange; to set;
,,,,,to appoint; to fix
58,含,ガン,"ふく.む, ふく.める","bear in mind,",• 含む → ふくむ → to
,,,,"cherish,",contain; to comprise; to
,,,,"contain, hold in",have; to hold; to include;
,,,,"the mouth,",to embrace
,,,,"include,",• 含める → ふくめる → to
,,,,understand,include (in a group or
,,,,,scope)
,,,,,• 含み → ふくみ →
,,,,,implication; hidden
,,,,,meaning; latitude;
,,,,,atmosphere; tone;
,,,,,sentiment; inclusion
,,,,,• 嗽 → うがい → gargling;
,,,,,rinsing one's mouth
#,Kanji,Onyomi,Kunyomi,Meanings,Vocab
59,蔵,"ソウ,ゾウ","おさ.める, かく.れる,","have, hide,",• 蔵 → くら → warehouse;
,,,くら,"own, possess,",storehouse; cellar;
,,,,storehouse,magazine; granary;
,,,,,godown; depository;
,,,,,treasury; elevator
,,,,,• 蔵 → ぞう → possession;
,,,,,ownership
,,,,,• 仕舞う → しまう → to
,,,,,finish; to stop; to end; to
,,,,,put an end to; to bring to
,,,,,a close
,,,,,• 蔵書 → ぞうしょ →
,,,,,collection of books;
,,,,,(personal) library
60,量,リョウ,はか.る,"amount,",• 量 → りょう → quantity;
,,,,"consider,",amount; volume;
,,,,"estimate,",capacity; portion (of food)
,,,,"measure,",• 捗 → はか → progress
,,,,"quantity,",• 計る → はかる → to
,,,,"surmise,",measure; to weigh; to
,,,,weight,"survey; to time (sound,"
,,,,,"gauge, estimate)"
,,,,,• 量産 → りょうさん →
,,,,,mass production
61,型,ケイ,"-がた, かた","model, mould,",• 型 → かた → type; style;
,,,,type,model; pattern
,,,,,• 型崩れ → かたくずれ →
,,,,,"losing shape (of clothing,"
,,,,,etc.); losing form
,,,,,• 型録 → カタログ →
,,,,,catalog; catalogue
,,,,,• 型紙 → かたがみ →
,,,,,pattern paper (for
,,,,,dressmaking)
62,況,キョウ,"いわ.んや, おもむき,","condition,",• 況して → まして → still
,,,まし.て,situation,more; to say nothing of;
,,,,,not to mention
,,,,,• 況してや → ましてや →
,,,,,much less; to say nothing
,,,,,of
,,,,,• 況んや → いわんや →
,,,,,much more; not to
,,,,,mention; not to speak of;
,,,,,to say nothing of; let
,,,,,alone
63,針,シン,はり,"needle, pin,",• 針 → はり → needle; pin
,,,,"staple, stinger",• 針金 → はりがね → wire
,,,,,• 針路 → しんろ → course;
,,,,,direction
,,,,,• 針仕事 → はりしごと →
,,,,,needlework; sewing
#,Kanji,Onyomi,Kunyomi,Meanings,Vocab
64,専,セン,もっぱ.ら,"exclusive,",• 専 → せん → exclusively
,,,,"mainly, solely,",doing ...; person who
,,,,specialty,exclusively does ...; fetish
,,,,,for ...; someone with a
,,,,,fetish for ...
,,,,,• 専攻 → せんこう → major
,,,,,subject; special study
,,,,,• 専用 → せんよう →
,,,,,(one's) exclusive use;
,,,,,private use; personal use
,,,,,• 専ら → もっぱら →
,,,,,wholly; solely; entirely;
,,,,,exclusively; devotedly;
,,,,,fixedly
65,谷,コク,"きわ.まる, たに",valley,• 谷 → たに → valley;
,,,,,ravine; gorge; canyon
,,,,,• 谷間 → たにま → valley;
,,,,,ravine; gorge; chasm
,,,,,• 極まる → きわまる → to
,,,,,reach an extreme; to
,,,,,reach a limit; to
,,,,,terminate; to come to an
,,,,,end
,,,,,• 谷底 → たにぞこ → valley
,,,,,floor; bottom of a gorge;
,,,,,bottom of a ravine
66,史,シ,,"chronicle,",• 史 → し → history
,,,,history,• 史 → ふひと → court
,,,,,historian
,,,,,• 史学 → しがく → study of
,,,,,history
,,,,,• 史上 → しじょう → in
,,,,,history; ever; historical
67,階,カイ,きざはし,counter for,• 階 → かい → storey;
,,,,storeys of a,story; floor
,,,,"building, stair,",• 品 → しな → article;
,,,,storey,item; thing; goods; stock
,,,,,• 階 → きざはし → stairs
,,,,,• 階段 → かいだん →
,,,,,stairs; stairway; staircase
68,管,カン,くだ,"control,",• 管 → かん → pipe; tube
,,,,"drunken talk,",• 管理 → かんり → control;
,,,,"jurisdiction,",management (e.g. of a
,,,,"pipe, tube,",business)
,,,,wind,• 管理職 → かんりしょく →
,,,,instrument,management; managerial
,,,,,position; administrative
,,,,,post; person in a
,,,,,managerial position
,,,,,• 管轄 → かんかつ →
,,,,,jurisdiction; control
#,Kanji,Onyomi,Kunyomi,Meanings,Vocab
69,兵,"ヒョウ,ヘイ",つわもの,"army, private,",• 兵 → へい → (common)
,,,,"soldier,",soldier; rank and file
,,,,"strategy,",• 戦 → いくさ → war;
,,,,"tactics, troops,",battle; campaign; fight
,,,,warfare,• 兵 → つわもの → soldier;
,,,,,warrior
,,,,,• 強者 → きょうしゃ →
,,,,,strong person; the strong;
,,,,,the powerful
70,接,"ショウ, セツ",つ.ぐ,"adjoin,",• 接続 → せつぞく →
,,,,"contact, piece",connection; attachment;
,,,,"together, touch",union; join; joint; link
,,,,,• 接する → せっする → to
,,,,,touch; to come in contact
,,,,,with; to border on; to
,,,,,adjoin; to be adjacent; to
,,,,,be close
,,,,,• 接近 → せっきん →
,,,,,getting closer; drawing
,,,,,nearer; approaching
,,,,,• 繋がる → つながる → to
,,,,,be tied together; to be
,,,,,connected to; to be linked
,,,,,to
71,細,サイ,"こま.か, こま.かい,","dainty,",• 細 → ほそ → fine thread;
,,,"ほそ.い,ほそ.る","detailed, get",hempen cord
,,,,"thin, narrow,",• 細 → ささ → small; little
,,,,"precise,",• 細 → さい → detail;
,,,,"slender, taper",details
,,,,,• 細ら → ささら → small;
,,,,,little; fine
72,効,コウ,"き.く, ききめ, なら.","benefit,",• 甲斐 → かい → result
,,,う,"efficacy,",(that makes an act
